run_id,timestamp,exp_group,activation,init,preprocess,hidden_sizes,use_bn,lr,batch_size,epochs,seed,train_acc,val_acc,test_acc,final_train_loss,final_val_loss,epochs_to_90pct_best,wall_time_sec,git_commit,notes
baseline__act-relu__init-he__prep-standardize__bn-0__lr-0.1__bs-128__seed-0,2026-08-23T21:35:13,baseline,relu,he,standardize,256-128-64,0,0.1,128,30,0,0.9900925925925926,0.891,0.884,0.03104368523915164,0.481454320022204,1,85.57,a773b3f,
baseline__act-relu__init-he__prep-standardize__bn-0__lr-0.1__bs-128__seed-1,2026-08-23T21:36:46,baseline,relu,he,standardize,256-128-64,0,0.1,128,30,1,0.9909814814814815,0.8855,0.8858,0.027584526683190683,0.5692283159891758,1,91.53,a773b3f,
baseline__act-relu__init-he__prep-standardize__bn-0__lr-0.1__bs-128__seed-2,2026-08-23T21:38:22,baseline,relu,he,standardize,256-128-64,0,0.1,128,30,2,0.9918888888888889,0.8953333333333333,0.8844,0.02626737883445514,0.5527833409241405,1,94.95,a773b3f,
act_sweep__act-sigmoid__init-xavier__prep-standardize__bn-0__lr-0.1__bs-128__seed-0,2026-08-23T21:40:32,act_sweep,sigmoid,xavier,standardize,256-128-64,0,0.1,128,30,0,0.9192777777777777,0.8866666666666667,0.8757,0.23179095469428834,0.3155738325055859,5,127.67,a773b3f,
act_sweep__act-sigmoid__init-xavier__prep-standardize__bn-0__lr-0.1__bs-128__seed-1,2026-08-23T21:42:40,act_sweep,sigmoid,xavier,standardize,256-128-64,0,0.1,128,30,1,0.9172407407407407,0.8823333333333333,0.8739,0.23319466812669254,0.33400454445206956,5,126.52,a773b3f,
act_sweep__act-sigmoid__init-xavier__prep-standardize__bn-0__lr-0.1__bs-128__seed-2,2026-08-23T21:44:50,act_sweep,sigmoid,xavier,standardize,256-128-64,0,0.1,128,30,2,0.9156481481481481,0.8871666666666667,0.8763,0.23768366103390406,0.33452634361080275,5,128.1,a773b3f,
act_sweep__act-tanh__init-xavier__prep-standardize__bn-0__lr-0.1__bs-128__seed-0,2026-08-23T21:46:27,act_sweep,tanh,xavier,standardize,256-128-64,0,0.1,128,30,0,0.9909074074074075,0.893,0.8843,0.030297385819166366,0.4221613192850839,1,96.34,a773b3f,
act_sweep__act-tanh__init-xavier__prep-standardize__bn-0__lr-0.1__bs-128__seed-1,2026-08-23T21:48:06,act_sweep,tanh,xavier,standardize,256-128-64,0,0.1,128,30,1,0.9868888888888889,0.8868333333333334,0.8831,0.042058702589486345,0.4876854704675625,1,97.53,a773b3f,
act_sweep__act-tanh__init-xavier__prep-standardize__bn-0__lr-0.1__bs-128__seed-2,2026-08-23T21:49:43,act_sweep,tanh,xavier,standardize,256-128-64,0,0.1,128,30,2,0.987037037037037,0.8916666666666667,0.8833,0.03830320372602794,0.45360102217959997,1,95.78,a773b3f,
act_sweep__act-relu__init-xavier__prep-standardize__bn-0__lr-0.1__bs-128__seed-0,2026-08-23T21:51:18,act_sweep,relu,xavier,standardize,256-128-64,0,0.1,128,30,0,0.982925925925926,0.8883333333333333,0.882,0.05346496700598688,0.4945938925979976,1,93.94,a773b3f,
act_sweep__act-relu__init-xavier__prep-standardize__bn-0__lr-0.1__bs-128__seed-1,2026-08-23T21:52:50,act_sweep,relu,xavier,standardize,256-128-64,0,0.1,128,30,1,0.9892037037037037,0.8923333333333333,0.892,0.03208085246349958,0.5354715548955229,1,91.01,a773b3f,
act_sweep__act-relu__init-xavier__prep-standardize__bn-0__lr-0.1__bs-128__seed-2,2026-08-23T21:54:29,act_sweep,relu,xavier,standardize,256-128-64,0,0.1,128,30,2,0.9797592592592592,0.8895,0.8839,0.06387618653109978,0.5324514492180004,1,96.98,a773b3f,
act_sweep__act-leaky_relu__init-xavier__prep-standardize__bn-0__lr-0.1__bs-128__seed-0,2026-08-23T21:56:19,act_sweep,leaky_relu,xavier,standardize,256-128-64,0,0.1,128,30,0,0.9857222222222223,0.8886666666666667,0.8839,0.041518995176272444,0.49540303740571845,1,108.83,a773b3f,
act_sweep__act-leaky_relu__init-xavier__prep-standardize__bn-0__lr-0.1__bs-128__seed-1,2026-08-23T21:58:11,act_sweep,leaky_relu,xavier,standardize,256-128-64,0,0.1,128,30,1,0.9881111111111112,0.8911666666666667,0.8939,0.034879034893290965,0.5381448616596848,1,110.22,a773b3f,
